area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s91p91,s91p92,s91p93,s91p94,s91p95,s91p96,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo,NEW_VARIABLE,ID_1,NAME_1
1,10150,5904,13,3,1,1,1,1,1,1,2,2,2,2,1,2,4,2,2,2,2,2,5,3,5,5,5,3,5,5,5,2713,154.4900121,10150005904,1015000590401303,10150005904013031,202210,1,1,Azuay
1,10150,5904,13,4,1,3,1,2,2,2,1,2,2,2,2,1,3,2,1,2,2,2,5,5,2,5,5,2,5,5,5,2713,154.4900121,10150005904,1015000590401304,10150005904013041,202210,1,1,Azuay
1,10150,5904,13,5,1,3,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2713,154.4900121,10150005904,1015000590401305,10150005904013051,202210,1,1,Azuay
1,10150,5904,13,6,1,3,1,1,1,1,1,2,1,1,2,1,3,2,2,2,2,2,1,5,5,5,5,3,5,5,5,2713,154.4900121,10150005904,1015000590401306,10150005904013061,202210,1,1,Azuay
1,10150,5904,13,7,1,1,1,2,1,1,2,2,2,2,1,2,4,2,2,2,2,2,5,1,4,5,5,3,3,5,5,2713,154.4900121,10150005904,1015000590401307,10150005904013071,202210,1,1,Azuay
1,10150,7501,25,1,1,3,1,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,3,3,3,2,2,2712,131.5057502,10150007501,1015000750102501,10150007501025011,202210,1,1,Azuay
1,10150,7501,25,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,131.5057502,10150007501,1015000750102503,10150007501025031,202210,1,1,Azuay
1,10150,7501,25,4,1,3,6,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,131.5057502,10150007501,1015000750102504,10150007501025041,202210,1,1,Azuay
1,10150,7501,25,5,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,3,3,4,4,2712,131.5057502,10150007501,1015000750102505,10150007501025051,202210,1,1,Azuay
1,10150,7501,25,6,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,4,3,5,5,5,5,2,2712,131.5057502,10150007501,1015000750102506,10150007501025061,202210,1,1,Azuay
1,10150,7501,25,7,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,3,3,5,5,5,5,5,2712,131.5057502,10150007501,1015000750102507,10150007501025071,202210,1,1,Azuay
1,10150,7501,25,8,1,3,1,2,2,1,2,2,2,2,2,1,4,2,2,2,2,2,5,2,5,5,5,2,3,3,2,2712,131.5057502,10150007501,1015000750102508,10150007501025081,202210,1,1,Azuay
1,10150,7601,15,1,1,3,1,1,2,1,2,2,1,2,2,2,4,2,2,2,2,2,5,5,5,5,5,3,3,3,3,2712,310.6268687,10150007601,1015000760101501,10150007601015011,202210,1,1,Azuay
1,10150,7601,15,2,1,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,5,5,5,5,5,1,3,3,4,2712,310.6268687,10150007601,1015000760101502,10150007601015021,202210,1,1,Azuay
1,10150,7601,15,3,1,3,6,1,1,1,2,2,1,2,2,1,4,1,2,2,2,2,5,5,5,5,5,1,5,5,5,2712,310.6268687,10150007601,1015000760101503,10150007601015031,202210,1,1,Azuay
1,10150,7601,15,4,1,3,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,5,5,5,5,4,1,5,4,4,2712,310.6268687,10150007601,1015000760101504,10150007601015041,202210,1,1,Azuay
1,10150,7601,15,5,1,3,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,5,5,5,5,5,1,4,4,5,2712,310.6268687,10150007601,1015000760101505,10150007601015051,202210,1,1,Azuay
1,10150,7601,15,6,1,3,6,2,2,2,2,2,1,2,2,1,3,2,2,2,2,2,5,5,5,5,5,1,5,4,4,2712,310.6268687,10150007601,1015000760101506,10150007601015061,202210,1,1,Azuay
1,10150,7601,15,7,1,2,6,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,5,4,5,5,5,5,3,5,1,2712,310.6268687,10150007601,1015000760101507,10150007601015071,202210,1,1,Azuay
1,10150,8202,15,2,1,1,1,1,1,1,2,1,1,2,1,2,4,2,2,2,2,2,5,5,5,5,5,3,5,5,5,2713,164.9329479,10150008202,1015000820201502,10150008202015021,202210,1,1,Azuay
1,10150,8202,15,3,1,3,1,2,5,1,1,2,2,2,1,1,4,2,2,2,2,2,5,5,5,5,5,1,5,5,5,2713,164.9329479,10150008202,1015000820201503,10150008202015031,202210,1,1,Azuay
1,10150,8202,15,4,1,3,1,2,2,1,1,2,2,2,1,2,4,2,2,2,2,2,5,5,5,5,5,1,5,2,5,2713,164.9329479,10150008202,1015000820201504,10150008202015041,202210,1,1,Azuay
1,10150,8202,15,5,1,3,1,5,5,1,2,2,1,2,1,1,4,2,2,2,2,2,5,5,5,5,5,1,5,2,3,2713,164.9329479,10150008202,1015000820201505,10150008202015051,202210,1,1,Azuay
1,10150,8202,15,7,1,1,1,2,2,1,1,2,1,2,1,1,4,2,2,2,2,2,5,5,5,5,5,1,5,5,4,2713,164.9329479,10150008202,1015000820201507,10150008202015071,202210,1,1,Azuay
1,10150,8202,15,9,1,1,1,5,5,1,1,1,1,1,1,1,4,2,2,2,2,2,5,5,5,5,5,4,5,5,5,2713,164.9329479,10150008202,1015000820201509,10150008202015091,202210,1,1,Azuay
1,10150,8202,15,10,1,3,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,2,5,2,5,5,5,2,3,5,5,2713,164.9329479,10150008202,1015000820201510,10150008202015101,202210,1,1,Azuay
